​‍‍​​‍​‍​‍‍‍‍​​‍​‍​​‍​‍​​‍​​​​‍​​‍​‍​​‍‍​‍​‍​‍​‍​‍‍​​‍​​​‍​​​‍​​​‍​​‍​​‍​‍‍​‍​‍​​‍‍‍​​​​​​‍‍​‍‍‍​‍​​‍​​‍​‍‍​‍​‍‍​‍‍‍‍​​​​‍‍​‍​​​​‍​‍‍​​‍​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍​‍​​‍‍​‍‍‍‍​‍‍​‍​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍​‍‍​‍​​‍‍‍​​‍‍‍​‍‍​​‍‍​​​‍​​‍‍​‍‍‍​​‍​‍​​‍​​‍‍​‍‍​​​‍‍​​​‍​​‍‍​‍‍‍​​‍​‍​​‍​​‍​‍​​​‍​‍‍​​​‍‍​‍‍​‍‍​‍​​‍‍‍​​‍​‍‍​‍​‍‍​‍‍​​‍​​​‍​‍​‍‍‍​‍​​‍‍‍​​‍‍​‍‍​​​‍‍​​​‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​‍‍​​‍‍​​​‍​‍​​​​‍​​‍​‍​​‍​​‍​​​‍​​​‍​‍​‍​‍​​‍‍​​​‍​‍​‍​‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍​​‍​​‍​‍​​‍‍​‍​‍​​​‍​‍​‍​‍‍​​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​​​‍​​‍‍‍‍​​‍​‍‍​​​‍​​​‍‍​​‍​​‍​‍​​‍​​​‍‍​​​‍​‍​‍‍​​‍​​‍‍​​‍​​‍​‍​‍‍​​‍​​‍​‍​​‍​‍​​‍​​‍​​​​‍‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​‍​​​‍​​‍‍​​‍‍​‍​​‍‍​‍​‍‍​‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​​‍‍​‍​‍‍​‍‍​‍​‍​‍‍​​‍​​‍‍​​‍‍​‍​​‍‍​​​‍​‍​‍‍‍​‍​​‍‍​‍​‍‍‍‍​​‍​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​​‍​‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍‍‍​‍​​‍​‍​​‍‍​‍‍​​​‍​​‍‍‍‍​‍​​​​‍‍​​‍‍​​​​​​‍‍​‍​​​‍​​‍‍‍‍​‍​‍​‍‍‍​‍​‍​​​‍​​‍‍​‍​​​‍​​‍‍​​​‍​‍​‍​​​‍​​‍​​‍​‍‍‍‍​‍​​‍​‍‍​​‍​‍​‍​‍‍‍​‍​‍​‍‍​​‍‍​‍‍​​​‍​‍‍​​‍​‍​‍​‍‍‍​‍​‍​​​‍​‍‍‍‍​‍​​‍​‍‍​​‍​‍‍​‍​‍​​‍​​​‍​‍​‍‍‍‍​‍​​‍​​‍‍​‍​‍‍‍‍​​‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​‍​‍​​‍‍​‍‍​​​‍‍​​​‍‍​​‍‍​​‍​​‍​‍​‍‍​​‍‍‍‍​​‍​‍‍​​‍​​​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍​‍​‍‍​‍​‍​​​‍​​‍‍​​‍​​​‍‍‍​​‍​‍‍​‍​‍‍​‍​‍‍​‍​​‍​‍​‍​​​‍​​​‍​‍​‍‍​‍​​‍​‍​​‍‍‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​​‍‍​‍​​‍‍‍‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​‍‍​‍​​‍‍​‍​‍​​‍‍​​​‍‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​​​​‍‍​​‍‍​​​‍​‍‍​‍‍​​​‍​​‍‍‍‍​‍​​​‍‍‍​‍​​​‍​‍​​‍‍​​​​​‍​​‍‍​​​‍​‍​‍​​​‍​‍​​​‍​​‍‍​​‍​​‍​‍‍​​‍​​‍‍​​‍​​‍​‍‍​​‍​‍‍‍​‍​​​‍​​‍‍‍‍​‍​​​‍‍‍​‍​‍​‍​‍​​‍‍​​‍​​‍​‍‍​‍​​‍​​​​‍‍​​‍‍​​​​​​‍‍​​‍​​‍​​‍‍‍​​‍​​​‍​​​‍​​​​‍​​‍‍​‍‍​‍​‍​​‍‍​‍​‍​​​‍‍‍​‍​‍​‍​‍​‍‍‍​‍‍‍​‍​​‍‍‍​​‍‍​‍‍​‍​‍​‍​‍​‍​​‍‍​‍​​​‍​‍‍​​‍​‍​‍​‍​​​‍​​​​​‍​‍‍​‍​​‍​‍​​‍‍​​​‍​​​​‍‍​‍​​‍​‍​​‍​​​‍​​​‍‍​​​‍​​​‍‍​​‍​​​‍‍​‍​‍​​‍‍​​​​​‍​‍‍​‍​​‍​‍​‍‍‍​​‍‍​‍​‍​​‍‍​​​​​‍​‍​‍​‍​‍​​‍​​​​‍​​‍​‍​​‍‍‍​‍‍​​‍‍​​​‍‍​‍​​​‍‍‍​‍​​​‍‍​​‍‍​‍‍‍​​‍​‍‍​​‍​‍​‍‍​​​​‍​‍​​‍​​‍‍‍​‍‍​​‍‍​​​‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​‍‍​​‍‍​​​‍​‍​​​​‍​​‍​‍​​‍​​‍​​​‍​​​‍​‍​‍​‍​​‍‍​​​‍​‍​‍​‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍​​‍​​‍​‍​​‍‍​‍​‍​​​‍​‍​‍​‍‍​​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​​​‍​​‍‍‍‍​​‍​‍‍​​​‍​​​‍‍​​‍‍​‍​​​​‍​​‍‍​‍​​​​‍​‍‍​‍​​​‍‍​​‍​​‍​​​‍‍​​​‍‍​​​​​‍​‍‍​‍​​‍​‍​‍​‍​‍‍​‍‍​​​‍​​​‍​‍​‍​​‍​​‍​‍‍​‍​‍​​‍‍​‍‍‍‍​‍‍​‍​​‍​‍​​‍‍‍​​‍​​​‍​​​‍‍​​​‍‍​‍‍‍‍​​‍​‍​​‍‍‍​​‍‍​‍​‍​​‍​​‍‍​‍​‍‍‍‍​​‍​‍​‍‍​‍​​‍‍​‍​‍​​‍‍​​​‍‍​‍‍‍​‍​​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​​‍​​‍​‍‍‍‍​‍​​‍​​‍‍​‍​‍​‍​​‍‍​​‍‍​​​​​​‍‍​​​​​‍​‍‍​​‍​‍‍​‍‍​‍​‍​‍​‍​‍​​‍‍​‍​​​‍​​‍‍​​​‍​‍​‍​​​‍‍​​‍‍‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​​​‍​​​‍‍​​‍‍‍​‍‍‍​‍​​​‍​​‍‍​‍​‍‍​‍​‍​​‍​​‍‍‍​​‍‍​‍​​​​‍​‍‍​‍​​‍​‍​‍‍‍​‍​‍​‍‍​​‍‍​‍​​​​‍​‍‍​‍​​‍​​​‍​​​‍​​‍‍‍​​‍‍​‍​​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​‍​​‍​‍‍​‍​​‍​‍‍‍​‍‍‍​‍‍​‍​​‍​‍​‍​‍​‍​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍‍‍​‍​​‍​‍‍​‍​​‍​‍‍​​​​‍​​‍​‍​​​‍‍​​‍​​‍​‍‍​‍​​‍​‍​‍‍‍​‍​‍​​‍​​‍​​​‍​​​‍‍​​​‍​​​‍‍​​‍​​‍​‍​​‍​​‍‍​‍‍​​​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍‍​​​‍‍​​‍‍​‍​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​​‍​​‍‍​‍‍​‍​‍​​‍‍‍​​‍‍‍‍​‍​​‍‍​‍‍​​​‍‍​‍​‍‍​‍​​‍‍​​​‍​‍​‍‍‍​‍​‍​‍​‍​​‍‍​‍​​​‍​‍‍​​‍​‍​‍​‍​​​‍​‍​​​‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍​​​‍​‍‍​‍​​‍‍​‍​‍​​‍​‍‍​‍​​‍‍​‍​​‍​​‍‍​​​​​​‍‍​‍​​​‍​‍‍​‍​​‍​‍​‍​​​‍​‍‍​‍​​‍‍​‍​‍‍​‍​​‍‍​​​‍​‍​‍​​​‍​‍‍​​‍​​‍‍​​​​​‍​​‍‍​‍​‍​​​‍‍‍​‍​‍‍​​‍​‍‍‍​‍‍‍​‍​‍‍​‍​​‍​‍​‍​​​‍​​​​​‍​​‍‍​​‍​​‍​‍‍​‍​​‍​‍​‍​​​‍‍​‍​​​​‍‍​‍​​​​‍​​‍‍​‍​‍​​​​‍‍​‍​​‍​‍​​​‍‍‍​​‍​‍‍​​‍‍​​‍​‍​​​‍​​‍‍‍‍​‍​​‍‍‍‍​‍Survey-GS-Urban|||Survey on 3DGS for urban scenes: autonomous driving/street view/city-scale reconstruction
GSurf|||Gaussian surface reconstruction with SDF-GS hybrid representation for watertight meshes
SalientGS|||Unified SfM-to-3DGS pipeline with importance-guided MCMC Gaussian allocation; reallocates capacity from well-fit to underfit regions; 15-min end-to-end SOTA
World from Motion|||Generative dynamic GS from monocular video; conditions video model to fix rendering artifacts + fill missing regions; distills back to consistent 4D Gaussians
PruneGS|||Importance-aware pruning for GS with gradient-based contribution scoring
DeblurNVS|||First feed-forward NVS from sparse motion-blurred images without per-scene optimization; recovers intermediate geometry for multi-view reasoning; constructs DL3DV-10K-based motion blur NVS dataset
EmoTaG|||Few-shot emotion-aware talking head on Gaussian Splatting
Asset Harvester|||AV log → simulation-ready 3D assets via SparseViewDiT
WildGS-SLAM|||Dynamic environment SLAM with uncertainty-aware mapping
MeshFlow|||Efficient artistic mesh generation via MeshVAE + flow-based Diffusion Transformer; compact latent space for high-quality mesh creation
Luminance-GS++|||View-adaptive color/lightness correction for robust NVS
Embedded-3DGS|||Neural architecture search, ~10x compression
SplatFields|||Implicit neural field regularization on splat features for sparse-view 3D/4D reconstruction
GS-LRM|||1B-parameter transformer with zero-shot generalization
SNS|||Azzalini Skew-Normal distribution as 3DGS primitive; learnable skewness for a...
EG3DGS|||Edge-guided Gaussian splitting replacing heuristic clone/split with edge-aware densification
DualSplat|||Failure-to-Prior framework from reconstruction failures
FewViewGS|||Multi-stage coarse-to-fine training strategy for few-view Gaussian Splatting
GS-Surrogate|||Deformable GS surrogate for ensemble simulation exploration
LRG|||Locally-reconstructible GS for scalable large scene rendering
TIDES|||Continuous-time event camera simulator from dynamic Gaussian Splatting; derives per-pixel intensity dynamics from scene model (not frame differencing); multi-threshold crossing + adaptive time-stepping + tile-level bandwidth modeling
3DGS as MCMC|||Density control as MCMC sampling moves
GETA-3DGS|||End-to-end automatic joint pruning + quantization
GWM|||Gaussian World Model: 3DGS as environment dynamics modeling primitive with autoregressive future state prediction for interactive world simulation
CGGS|||Consistency-Augmented Geometric GS for ego-centric 3D scene generation; consistency-augmented loss + mutual information depth loss (MID) for hierarchical geometry-visual optimization
Ilov3Splat|||Instance-level open-vocabulary 3DGS via multi-resolution hash embedding for CLIP features + SAM contrastive instance field; two-stage 3D clustering for natural language-driven 3D object retrieval (CSIRO)
GS4D-v2|||Second-generation 4DGS with improved temporal deformation
QuadBox|||Quad-tree-based accelerated rasterization for 3DGS with geometry-aware bounding boxes; reduces tile-based blank area
FewSplat|||Few-shot GS with diffusion-guided depth completion and feature propagation
SyncSpace|||Layout-conditioned 3DGS for MR space reskinning; coarse-to-fine registration + hand-tracked engulfment interaction
Sensor2Sensor|||Cross-embodiment sensor conversion via 4DGS; translates dashcam to AV sensor suite using diffusion
CityGaussian|||Hierarchical LOD for city-scale real-time rendering
Cookbook of 3D Vision|||Data-centric taxonomy of 3D vision: point clouds, meshes, voxels, 3D Gaussians; Brown / UMaryland / UPenn / USC / NYU / Sydney / Stability AI
MMGS|||10x compressed 3DGS via multi-view ranking + Optimal Transport aggregation; global OT-based merging preserving geometry + OT-based densification operator; 10% primitives + 10x training speedup
Consistent Scene Understanding in 3DGS|||Multi-cue mask refinement with semantic/depth/edge fusion + cross-view mask matching for consistent 3DGS instance segmentation
MORPHOS|||Autoregressive 4D generation with Temporal Structured Latents (T-SLAT) unifying mesh/Gaussian/radiance field; causal attention ensures temporal consistency + handles topology changes
SpreG|||Separable Gaussian representation factorizing covariance for efficient storage
CoR-GS|||Co-regularization of two randomly initialized GS fields: co-pruning + pseudo-view augmentation for sparse views
GausSR|||Super-resolution guided GS with diffusion prior for high-frequency detail recovery
GaussianCtrl|||Depth-conditioned controlnet + progressive editing for controllable 3DGS generation
Spark 2.0|||NVIDIA 3DGS-based robotic world simulation: real-time 3DGS reconstruction for manipulation learning and physical AI interaction
Proxy-GS|||Unified occlusion priors for structured 3DGS via lightweight proxy mesh; 3× rendering speedup for anchor-based methods; train+inference dual acceleration
SplatFormer|||Transformer-based Gaussian prediction for generalizable 3D reconstruction
FaceParts|||Unsupervised segmentation and editing of GS avatars with FLAME-anchored transfer
FreeTimeGS++|||Principled analysis + gated marginalization for 4DGS stability
VG2GT|||Voxel-Gaussian Transformer; frozen VFM + stochastic solid volume rendering
HiFi-SurfSplat|||Compact polynomial kernel replacing IMLS + Laplacian stochastic regularizatio...
SplatPose|||Pose-conditioned Gaussian Splatting for monocular human reconstruction
CL-GS|||Contrastive learning for GS semantic features: CLIP-guided per-Gaussian feature distillation
Splat-TOD|||GS-based 3D object detection with sparse Gaussian proposal generation
GaussianSR|||2D super-resolution diffusion prior guiding 3DGS iterative refinement for high-quality rendering
X-World|||Controllable multi-view generative world model (video diffusion + 3DGS simulation) for autonomous driving (XPeng)
Axis-Shared Rasterization Accelerator|||3DGS hardware accelerator with axis-shared rasterization + order-independent transmittance; optimized for efficient on-chip rendering (SJTU)
OGS|||Omnidirectional GS: spherical harmonics-free panoramic 3DGS for 360 capture
RobustSplat|||Decouples densification from dynamics for transient-free 3DGS
SplatSim|||GS-based sim-to-real transfer for robotic manipulation with photorealistic rendering
Survey-GS-Gen|||Survey on 3DGS-based generation: text-to-3D/image-to-3D/3D editing pipelines
GaussianDreamer|||Fast 3DGS-based text-to-3D generation coupling SDS with structured Gaussian initialization
Deformable-3DGS|||Deformation field network for 3DGS enabling high-fidelity dynamic scene rendering
PRISM3D|||First framework bootstrapping 3DGS from extreme motion blur; MCMC probabilistic densification + continuous Bezier trajectory physics modeling
ShapeGS|||Shape prior-guided Gaussian Splatting for geometrically accurate surface reconstruction
NanoGS|||Training-free simplification via local pairwise merging
ReferSplat|||Referring segmentation in 3D Gaussian Splatting with language-guided instance...
PM-Loss|||Pointmap-supervised depth representation for feed-forward 3DGS; regularizes depth maps in 3D point space to smooth boundary discontinuities without inference overhead
ProEdit|||Progressive local editing with global consistency maintenance for 3D scenes
NIRRGB-GS|||Near-infrared assisted low-light scene reconstruction and enhancement via Gaussian Splatting; multi-modal NIR+RGB fusion framework for dark场景 (Zhejiang Univ + XIOPM)
GS-IR|||Inverse rendering: Gaussians → geometry + BRDF + lighting
DéjàView|||Looped transformer block applied recurrently for K steps; exposes K as inference-time compute knob; matches larger baselines with fraction of parameters on 5 reconstruction benchmarks
DySurface|||Bridges explicit Gaussians and implicit SDF for consistent 4D surface reconst...
PanoWorld|||Generative spatial world model for whole-house panorama synthesis: floorplan-derived 3D shell + dynamic 3DGS cache as renderable spatial memory
2D-SuGaR|||2DGS enhanced with monocular depth/normal priors
Clustered Codebook VQ|||CGVQ for 2D Gaussian image compression; cluster-guided grouping before quantization; 20% bpp reduction with preserved visual quality
GOF|||Gaussian Opacity Field: opacity-weighted TSDF fusion for high-fidelity surface extraction from GS
Spec-Gaussian|||Anisotropic Spherical Gaussians replacing SH for view-dependent specular appearance
MERID-GS|||Retinex-based illumination/reflectance decoupling for low-light
FlashSplat|||Alpha blending linearity enables 2D-to-3D GS segmentation as linear programming with closed-form solution (50x faster)
FenceGS|||Fence-protected GS: access control layer preventing unauthorized GS extraction
3DCodeBench|||Systematic benchmark for VLM agents on procedural 3D generation (text/image → code → 3D); evaluates 12 VLMs; includes 3DCodeArena human preference ranking platform
GS-LRM-v2|||Enhanced large reconstruction model with improved cross-attention for feed-forward GS
GeoLRM|||Geometry-aware attention for large reconstruction model generating high-quality 3D Gaussians
PanoLOG|||Geometry and gradient-based partitioning for panoramic outdoor 3DGS reconstruction; first panoramic outdoor benchmark Pano360
3DGS squared|||Near second-order converging 3DGS with per-attribute Newton systems, 10x fewe...
DDGS-CT|||Direction-disentangled X-ray volume rendering with Gaussian acceleration for CT
D4RT|||Efficiently Reconstructing Dynamic Scenes One at a Time; unified query mechanism for 4D reconstruction + tracking from monocular video; 200+ FPS; Google DeepMind / UCL / Oxford
TAIL-Safe|||Safety monitoring for IL policies using 3DGS digital twin
EffectiveRank-GS|||Effective rank analysis and regularization preventing Gaussian degeneracy
BitC-3DGS|||High-capacity 3DGS watermarking via bit compression; 128-bit messages with dual-branch chunk decompression + hard-message sampling
SSA-3DGS|||Unsupervised screen-space artifact removal for 3DGS; joint optimization of 3D scene + learnable 2D overlay; cross-view geometric consistency decouples artifacts from geometry; up to +9 dB PSNR
COSY|||Compositional GAN generates hair/skin/glasses/torso independently for disentangled head editing
GS-SC|||Gaussian Splatting SLAM with semantic consistency for indoor scene understanding
TriGS|||Tri-plane augmented Gaussian Splatting: tri-plane features + Gaussian geometry for hybrid representation
NeuroGauss4D-PCI|||4D neural field + Gaussian deformation fields for point cloud interpolation
SAM 3D|||Foundation model for single-image 3D reconstruction; generalizable 3D understanding from 2D priors
T2Mo|||Controllable dynamic 3D shape generation via 3D trajectories + text; shape-grounded trajectory embedding for feed-forward dynamic generation
GaussCtrl-v2|||Enhanced controlled GS editing with multi-modal conditioning (text + depth + sketch)
GSDrive|||3DGS-based RL reward shaping for driving policy improvement
GauHuman|||Human-specific GS with SMPL-constrained Gaussian initialization and pose-aware densification
DVSM|||Decoder-only view synthesis model; shared reconstruction/rendering weights; SOTA on NVS, in some cases outperforms per-scene-optimized 3DGS under dense views
GSRep|||Comparative evaluation of point-based and graph-based architectures for learning representations from 3D Gaussian Splats
SplatterVideo|||Video-level feed-forward GS prediction with frame-to-frame consistency
FrameTwin|||Curve-anchored Gaussian alignment from sparse views for adaptive wireframe 3D...
GaussianEditor|||CLIP-guided text/geometry-driven editing
Holi-Spatial|||Evolving Video Streams into Holistic 3D Spatial Intelligence; fully automated spatial data construction framework from raw video; 4M+ spatial multimodal samples; covers 3D reconstruction, depth, 2D mask, 3D bbox, instance description, 3D grounding, spatial QA (Shanghai AI Lab, NWPU, SJTU)
PEAR|||Single-image animatable 3D human avatar at 100 FPS; full-body + hand + face reconstruction from single natural image
Nighttime AD GS|||PBR + BRDF for nighttime driving scene reconstruction
Tetrahedron Splatting|||Novel tetrahedron primitive replacing Gaussian ellipsoid for 3D generation tasks
Splat-Nav|||GS-based navigation with Gaussian-anchored topological maps
HeadsUp|||UV-parameterized 3D Gaussian representation decoupling Gaussian count from input resolution; trained on 10,000+ subjects for feed-forward 3D Gaussian head reconstruction
MesonGS++|||Post-training codec with 34x compression + ILP hyperparameter search
WildSplatter|||Unconstrained images with appearance embeddings, <1s reconstruction
SplitGS-Loc|||Mixture-of-Gaussians splitting to disambiguate 2D-3D correspondences in GS feature fields; no per-scene training needed
